| time |   a    |   b    |load |  out   |
| 0+   |      0 |      0 |  0  |      0 |
| 1    |      0 |      0 |  0  |      0 |
| 1+   |      0 |      0 |  1  |      0 |
| 2    |      0 |      0 |  1  |      0 |
| 2+   |      0 |      0 |  0  |      0 |
| 3    |      0 |      0 |  0  |      0 |
| 3+   |      0 |      0 |  0  |      0 |
| 4    |      0 |      0 |  0  |      0 |
| 4+   |      0 |      0 |  0  |      0 |
| 5    |      0 |      0 |  0  |      0 |
| 5+   |      0 |      0 |  0  |      0 |
| 6    |      0 |      0 |  0  |      0 |
| 6+   |      0 |      0 |  0  |      0 |
| 7    |      0 |      0 |  0  |      0 |
| 7+   |      0 |      0 |  0  |      0 |
| 8    |      0 |      0 |  0  |      0 |
| 8+   |      0 |      0 |  0  |      0 |
| 9    |      0 |      0 |  0  |      0 |
| 9+   |      0 |      0 |  0  |      0 |
| 10   |      0 |      0 |  0  |      0 |
| 10+  |      0 |      0 |  0  |      0 |
| 11   |      0 |      0 |  0  |      0 |
| 11+  |      0 |      0 |  0  |      0 |
| 12   |      0 |      0 |  0  |      0 |
| 12+  |      0 |      0 |  0  |      0 |
| 13   |      0 |      0 |  0  |      0 |
| 13+  |      0 |      0 |  0  |      0 |
| 14   |      0 |      0 |  0  |      0 |
| 14+  |      0 |      0 |  0  |      0 |
| 15   |      0 |      0 |  0  |      0 |
| 15+  |      0 |      0 |  0  |      0 |
| 16   |      0 |      0 |  0  |      0 |
| 16+  |      0 |      0 |  0  |      0 |
| 17   |      0 |      0 |  0  |      0 |
| 17+  |      0 |      0 |  0  |      0 |
| 18   |      0 |      0 |  0  |      0 |
| 18+  |      1 |      0 |  1  |      0 |
| 19   |      1 |      0 |  1  |      0 |
| 19+  |      1 |      0 |  0  |      0 |
| 20   |      1 |      0 |  0  |      0 |
| 20+  |      1 |      0 |  0  |      0 |
| 21   |      1 |      0 |  0  |      0 |
| 21+  |      1 |      0 |  0  |      0 |
| 22   |      1 |      0 |  0  |      0 |
| 22+  |      1 |      0 |  0  |      0 |
| 23   |      1 |      0 |  0  |      0 |
| 23+  |      1 |      0 |  0  |      0 |
| 24   |      1 |      0 |  0  |      0 |
| 24+  |      1 |      0 |  0  |      0 |
| 25   |      1 |      0 |  0  |      0 |
| 25+  |      1 |      0 |  0  |      0 |
| 26   |      1 |      0 |  0  |      0 |
| 26+  |      1 |      0 |  0  |      0 |
| 27   |      1 |      0 |  0  |      0 |
| 27+  |      1 |      0 |  0  |      0 |
| 28   |      1 |      0 |  0  |      0 |
| 28+  |      1 |      0 |  0  |      0 |
| 29   |      1 |      0 |  0  |      0 |
| 29+  |      1 |      0 |  0  |      0 |
| 30   |      1 |      0 |  0  |      0 |
| 30+  |      1 |      0 |  0  |      0 |
| 31   |      1 |      0 |  0  |      0 |
| 31+  |      1 |      0 |  0  |      0 |
| 32   |      1 |      0 |  0  |      0 |
| 32+  |      1 |      0 |  0  |      0 |
| 33   |      1 |      0 |  0  |      0 |
| 33+  |      1 |      0 |  0  |      0 |
| 34   |      1 |      0 |  0  |      0 |
| 34+  |      1 |      0 |  0  |      0 |
| 35   |      1 |      0 |  0  |      0 |
| 35+  |      0 |      1 |  1  |      0 |
| 36   |      0 |      1 |  1  |      0 |
| 36+  |      0 |      1 |  0  |      0 |
| 37   |      0 |      1 |  0  |      0 |
| 37+  |      0 |      1 |  0  |      0 |
| 38   |      0 |      1 |  0  |      0 |
| 38+  |      0 |      1 |  0  |      0 |
| 39   |      0 |      1 |  0  |      0 |
| 39+  |      0 |      1 |  0  |      0 |
| 40   |      0 |      1 |  0  |      0 |
| 40+  |      0 |      1 |  0  |      0 |
| 41   |      0 |      1 |  0  |      0 |
| 41+  |      0 |      1 |  0  |      0 |
| 42   |      0 |      1 |  0  |      0 |
| 42+  |      0 |      1 |  0  |      0 |
| 43   |      0 |      1 |  0  |      0 |
| 43+  |      0 |      1 |  0  |      0 |
| 44   |      0 |      1 |  0  |      0 |
| 44+  |      0 |      1 |  0  |      0 |
| 45   |      0 |      1 |  0  |      0 |
| 45+  |      0 |      1 |  0  |      0 |
| 46   |      0 |      1 |  0  |      0 |
| 46+  |      0 |      1 |  0  |      0 |
| 47   |      0 |      1 |  0  |      0 |
| 47+  |      0 |      1 |  0  |      0 |
| 48   |      0 |      1 |  0  |      0 |
| 48+  |      0 |      1 |  0  |      0 |
| 49   |      0 |      1 |  0  |      0 |
| 49+  |      0 |      1 |  0  |      0 |
| 50   |      0 |      1 |  0  |      0 |
| 50+  |      0 |      1 |  0  |      0 |
| 51   |      0 |      1 |  0  |      0 |
| 51+  |      0 |      1 |  0  |      0 |
| 52   |      0 |      1 |  0  |      0 |
| 52+  |      2 |      0 |  1  |      0 |
| 53   |      2 |      0 |  1  |      0 |
| 53+  |      2 |      0 |  0  |      0 |
| 54   |      2 |      0 |  0  |      0 |
| 54+  |      2 |      0 |  0  |      0 |
| 55   |      2 |      0 |  0  |      0 |
| 55+  |      2 |      0 |  0  |      0 |
| 56   |      2 |      0 |  0  |      0 |
| 56+  |      2 |      0 |  0  |      0 |
| 57   |      2 |      0 |  0  |      0 |
| 57+  |      2 |      0 |  0  |      0 |
| 58   |      2 |      0 |  0  |      0 |
| 58+  |      2 |      0 |  0  |      0 |
| 59   |      2 |      0 |  0  |      0 |
| 59+  |      2 |      0 |  0  |      0 |
| 60   |      2 |      0 |  0  |      0 |
| 60+  |      2 |      0 |  0  |      0 |
| 61   |      2 |      0 |  0  |      0 |
| 61+  |      2 |      0 |  0  |      0 |
| 62   |      2 |      0 |  0  |      0 |
| 62+  |      2 |      0 |  0  |      0 |
| 63   |      2 |      0 |  0  |      0 |
| 63+  |      2 |      0 |  0  |      0 |
| 64   |      2 |      0 |  0  |      0 |
| 64+  |      2 |      0 |  0  |      0 |
| 65   |      2 |      0 |  0  |      0 |
| 65+  |      2 |      0 |  0  |      0 |
| 66   |      2 |      0 |  0  |      0 |
| 66+  |      2 |      0 |  0  |      0 |
| 67   |      2 |      0 |  0  |      0 |
| 67+  |      2 |      0 |  0  |      0 |
| 68   |      2 |      0 |  0  |      0 |
| 68+  |      2 |      0 |  0  |      0 |
| 69   |      2 |      0 |  0  |      0 |
| 69+  |      0 |      2 |  1  |      0 |
| 70   |      0 |      2 |  1  |      0 |
| 70+  |      0 |      2 |  0  |      0 |
| 71   |      0 |      2 |  0  |      0 |
| 71+  |      0 |      2 |  0  |      0 |
| 72   |      0 |      2 |  0  |      0 |
| 72+  |      0 |      2 |  0  |      0 |
| 73   |      0 |      2 |  0  |      0 |
| 73+  |      0 |      2 |  0  |      0 |
| 74   |      0 |      2 |  0  |      0 |
| 74+  |      0 |      2 |  0  |      0 |
| 75   |      0 |      2 |  0  |      0 |
| 75+  |      0 |      2 |  0  |      0 |
| 76   |      0 |      2 |  0  |      0 |
| 76+  |      0 |      2 |  0  |      0 |
| 77   |      0 |      2 |  0  |      0 |
| 77+  |      0 |      2 |  0  |      0 |
| 78   |      0 |      2 |  0  |      0 |
| 78+  |      0 |      2 |  0  |      0 |
| 79   |      0 |      2 |  0  |      0 |
| 79+  |      0 |      2 |  0  |      0 |
| 80   |      0 |      2 |  0  |      0 |
| 80+  |      0 |      2 |  0  |      0 |
| 81   |      0 |      2 |  0  |      0 |
| 81+  |      0 |      2 |  0  |      0 |
| 82   |      0 |      2 |  0  |      0 |
| 82+  |      0 |      2 |  0  |      0 |
| 83   |      0 |      2 |  0  |      0 |
| 83+  |      0 |      2 |  0  |      0 |
| 84   |      0 |      2 |  0  |      0 |
| 84+  |      0 |      2 |  0  |      0 |
| 85   |      0 |      2 |  0  |      0 |
| 85+  |      0 |      2 |  0  |      0 |
| 86   |      0 |      2 |  0  |      0 |
| 86+  |      1 |      1 |  1  |      0 |
| 87   |      1 |      1 |  1  |      0 |
| 87+  |      1 |      1 |  0  |      0 |
| 88   |      1 |      1 |  0  |      1 |
| 88+  |      1 |      1 |  0  |      1 |
| 89   |      1 |      1 |  0  |      1 |
| 89+  |      1 |      1 |  0  |      1 |
| 90   |      1 |      1 |  0  |      1 |
| 90+  |      1 |      1 |  0  |      1 |
| 91   |      1 |      1 |  0  |      1 |
| 91+  |      1 |      1 |  0  |      1 |
| 92   |      1 |      1 |  0  |      1 |
| 92+  |      1 |      1 |  0  |      1 |
| 93   |      1 |      1 |  0  |      1 |
| 93+  |      1 |      1 |  0  |      1 |
| 94   |      1 |      1 |  0  |      1 |
| 94+  |      1 |      1 |  0  |      1 |
